name,Num_EV,TripEnergy,Demand,RES,SolarCapacity,BuyPowerEnergy,ContractPower,Cost,EnergyCost,ContractCost,Is_opt_capacity,TripType,ChargeType,ControlRatio
B11000285,0,0.0,662747.0,0.0,0.0,662747.0,233.0,1531.2416000000003,1060.3952000000002,470.8464000000001,False,Office,V2B,0
B11000286,0,0.0,877510.0,0.0,0.0,877510.0,282.0,1973.8816000000002,1404.016,569.8656000000001,False,Office,V2B,0
B11000287,0,0.0,1053310.0,0.0,0.0,1053310.0,161.0,2010.6448,1685.296,325.34880000000004,False,Office,V2B,0
B11000288,0,0.0,1383792.0,0.0,0.0,1383792.0,300.0,2820.3072,2214.0672,606.2400000000001,False,Office,V2B,0
B11000289,0,0.0,1455228.0,0.0,0.0,1455228.0,311.0,2956.8336000000004,2328.3648000000003,628.4688000000001,False,Office,V2B,0
B11000290,0,0.0,1323435.0,0.0,0.0,1323435.0,281.0,2685.3408,2117.496,567.8448000000001,False,Office,V2B,0
B11000291,0,0.0,1402558.0,0.0,0.0,1402558.0,231.0,2710.8976000000002,2244.0928,466.8048000000001,False,Office,V2B,0
B11000292,0,0.0,57637.0,0.0,0.0,57637.0,26.0,144.76000000000002,92.2192,52.54080000000001,False,Office,V2B,0
B11000295,0,0.0,51767.0,0.0,0.0,51767.0,23.0,129.30560000000003,82.8272,46.47840000000001,False,Office,V2B,0
B11000297,0,0.0,58097.0,0.0,0.0,58097.0,31.0,155.60000000000002,92.9552,62.64480000000001,False,Office,V2B,0
B11000298,0,0.0,56822.0,0.0,0.0,56822.0,31.0,153.56,90.9152,62.64480000000001,False,Office,V2B,0
B11000301,0,0.0,42423.0,0.0,0.0,42423.0,24.0,116.376,67.8768,48.49920000000001,False,Office,V2B,0
B11000303,0,0.0,33690.0,0.0,0.0,33690.0,18.0,90.2784,53.904,36.37440000000001,False,Office,V2B,0
B11000305,0,0.0,37092.0,0.0,0.0,37092.0,18.0,95.72160000000001,59.3472,36.37440000000001,False,Office,V2B,0
B11000306,0,0.0,54972.0,0.0,0.0,54972.0,29.0,146.5584,87.9552,58.60320000000001,False,Office,V2B,0
B11000307,0,0.0,416641.0,0.0,0.0,416641.0,138.0,945.4960000000001,666.6256000000001,278.8704000000001,False,Office,V2B,0
B11000308,0,0.0,808159.0,0.0,0.0,808159.0,183.0,1662.8608,1293.0544,369.80640000000005,False,Office,V2B,0
B11000311,0,0.0,603543.0,0.0,0.0,603543.0,138.0,1244.5392000000002,965.6688,278.8704000000001,False,Office,V2B,0
B11000312,0,0.0,1448699.0,0.0,0.0,1448699.0,315.0,2954.4704,2317.9184,636.5520000000001,False,Office,V2B,0
B11000313,0,0.0,1071628.0,0.0,0.0,1071628.0,242.0,2203.6384000000003,1714.6048,489.0336000000001,False,Office,V2B,0
B11000314,0,0.0,895032.0,0.0,0.0,895032.0,216.0,1868.5440000000003,1432.0512,436.4928000000001,False,Office,V2B,0
B11000318,0,0.0,44186.0,0.0,0.0,44186.0,20.0,111.11360000000002,70.69760000000001,40.41600000000001,False,Office,V2B,0
B11000319,0,0.0,50636.0,0.0,0.0,50636.0,23.0,127.49600000000001,81.0176,46.47840000000001,False,Office,V2B,0
B11000320,0,0.0,22303.0,0.0,0.0,22303.0,12.0,59.93440000000001,35.6848,24.249600000000004,False,Office,V2B,0
B11000324,0,0.0,36831.0,0.0,0.0,36831.0,19.0,97.32480000000001,58.9296,38.39520000000001,False,Office,V2B,0
B11000326,0,0.0,52244.0,0.0,0.0,52244.0,26.0,136.1312,83.5904,52.54080000000001,False,Office,V2B,0
B11000328,0,0.0,214999.0,0.0,0.0,214999.0,71.0,487.47520000000003,343.9984,143.47680000000003,False,Office,V2B,0
B11000330,0,0.0,186065.0,0.0,0.0,186065.0,43.0,384.5984,297.704,86.89440000000002,False,Office,V2B,0
B11000331,0,0.0,241446.0,0.0,0.0,241446.0,76.0,539.8944,386.3136,153.58080000000004,False,Office,V2B,0
B11000332,0,0.0,233276.0,0.0,0.0,233276.0,75.0,524.8016,373.2416,151.56000000000003,False,Office,V2B,0
B11000334,0,0.0,147692.0,0.0,0.0,147692.0,53.0,343.40960000000007,236.30720000000002,107.10240000000002,False,Office,V2B,0
B11000337,0,0.0,720344.0,0.0,0.0,720344.0,173.0,1502.1488000000002,1152.5504,349.5984000000001,False,Office,V2B,0
B11000338,0,0.0,1167149.0,0.0,0.0,1167149.0,283.0,2439.3248000000003,1867.4384,571.8864000000001,False,Office,V2B,0
B11000339,0,0.0,1298840.0,0.0,0.0,1298840.0,303.0,2690.4464000000003,2078.1440000000002,612.3024000000001,False,Office,V2B,0
B11000340,0,0.0,599093.0,0.0,0.0,599093.0,157.0,1275.8144000000002,958.5488,317.26560000000006,False,Office,V2B,0
B11000341,0,0.0,426980.0,0.0,0.0,426980.0,126.0,937.7888,683.168,254.62080000000006,False,Office,V2B,0
B11000342,0,0.0,224926.0,0.0,0.0,224926.0,95.0,551.8576,359.8816,191.97600000000003,False,Office,V2B,0
B11000343,0,0.0,148348.0,0.0,0.0,148348.0,54.0,346.48,237.35680000000002,109.12320000000003,False,Office,V2B,0
B11000344,0,0.0,576056.0,0.0,0.0,576056.0,129.0,1182.3728,921.6896,260.68320000000006,False,Office,V2B,0
B11000345,0,0.0,1081083.0,0.0,0.0,1081083.0,242.0,2218.7664,1729.7328,489.0336000000001,False,Office,V2B,0
B11000346,0,0.0,1133456.0,0.0,0.0,1133456.0,246.0,2310.6464,1813.5296,497.11680000000007,False,Office,V2B,0
B11000347,0,0.0,1042440.0,0.0,0.0,1042440.0,268.0,2209.4784,1667.904,541.5744000000001,False,Office,V2B,0
B11000348,0,0.0,551288.0,0.0,0.0,551288.0,161.0,1207.4096000000002,882.0608000000001,325.34880000000004,False,Office,V2B,0
B11000349,0,0.0,1788502.0,0.0,0.0,1788502.0,363.0,3595.1536,2861.6032,733.5504000000001,False,Office,V2B,0
B11000351,0,0.0,281178.0,0.0,0.0,281178.0,92.0,635.7984000000001,449.88480000000004,185.91360000000003,False,Office,V2B,0
B11000352,0,0.0,755122.0,0.0,0.0,755122.0,234.0,1681.0624000000003,1208.1952,472.8672000000001,False,Office,V2B,0
B11000353,0,0.0,620990.0,0.0,0.0,620990.0,204.0,1405.8272000000002,993.5840000000001,412.24320000000006,False,Office,V2B,0
B11000354,0,0.0,995272.0,0.0,0.0,995272.0,253.0,2103.6976000000004,1592.4352000000001,511.26240000000007,False,Office,V2B,0
B11000355,0,0.0,657224.0,0.0,0.0,657224.0,185.0,1425.4064000000003,1051.5584000000001,373.84800000000007,False,Office,V2B,0
B11000356,0,0.0,1267781.0,0.0,0.0,1267781.0,281.0,2596.2944,2028.4496000000001,567.8448000000001,False,Office,V2B,0
B11000358,0,0.0,1540674.0,0.0,0.0,1540674.0,337.0,3146.0880000000006,2465.0784000000003,681.0096000000001,False,Office,V2B,0
B11000359,0,0.0,1077281.0,0.0,0.0,1077281.0,283.0,2295.536,1723.6496000000002,571.8864000000001,False,Office,V2B,0
B11000360,0,0.0,425230.0,0.0,0.0,425230.0,103.0,888.5104000000001,680.368,208.14240000000004,False,Office,V2B,0
B11000361,0,0.0,37627.0,0.0,0.0,37627.0,21.0,102.64000000000001,60.2032,42.436800000000005,False,Office,V2B,0
B11000362,0,0.0,1047406.0,0.0,0.0,1047406.0,293.0,2267.944,1675.8496,592.0944000000001,False,Office,V2B,0
B11000364,0,0.0,1039739.0,0.0,0.0,1039739.0,270.0,2209.1984,1663.5824,545.6160000000001,False,Office,V2B,0
B11000365,0,0.0,597114.0,0.0,0.0,597114.0,160.0,1278.7104000000002,955.3824000000001,323.3280000000001,False,Office,V2B,0
B11000367,0,0.0,1416655.0,0.0,0.0,1416655.0,304.0,2880.9712000000004,2266.648,614.3232000000002,False,Office,V2B,0
B11000368,0,0.0,1026988.0,0.0,0.0,1026988.0,242.0,2132.2144000000003,1643.1808,489.0336000000001,False,Office,V2B,0
