,0
B11005744,1
B11005745,1
B11005746,0
B11005747,1
B11005749,1
B11005750,1
B11005764,0
B11005766,1
B11005768,1
B11005769,1
B11005770,1
B11005774,2
B11005777,0
B11005786,0
B11005790,1
B11005791,1
B11005793,1
B11005795,0
B11005796,1
B11005798,1
B11005801,1
B11005803,2
B11005805,2
B11005806,2
B11005807,1
B11005809,1
B11005810,2
B11005812,0
B11005814,1
B11005815,1
B11005816,0
B11005818,1
B11005819,0
B11005820,1
B11005821,1
B11005822,2
B11005823,1
B11005825,1
B11005826,1
B11005827,1
B11005829,1
B11005830,2
B11005832,1
B11005833,1
B11005835,1
B11005836,1
B11005838,1
B11005839,0
B11005840,2
B11005841,2
B11005842,1
B11005847,1
B11005850,2
B11005851,1
B11005852,1
B11005853,1
B11005854,1
B11005855,1
B11005856,1
B11005857,1
B11005858,0
B11005859,1
B11005860,1
B11005861,1
B11005862,1
B11005863,1
B11005864,1
B11005865,2
B11005866,1
B11005867,2
B11005868,1
B11005869,1
B11005870,0
B11005871,1
B11005872,0
B11005873,1
B11005874,2
B11005875,2
B11005876,1
B11005877,1
B11005878,0
B11005879,0
B11005880,1
B11005881,1
B11005882,1
B11005883,1
B11005884,1
B11005885,1
B11005886,1
B11005887,2
B11005888,1
B11005890,1
B11005891,1
B11005892,1
B11005893,1
B11005894,1
B11005895,1
B11005896,2
B11005897,1
B11005898,1
B11005899,2
B11005900,1
B11005901,1
B11005902,1
B11005903,1
B11005904,1
B11005905,0
B11005906,1
B11005907,0
B11005908,1
B11005909,1
B11005910,0
B11005911,0
B11005912,1
B11005913,1
B11005914,1
B11005915,1
B11005916,2
B11005917,1
B11005918,1
B11005919,1
B11005920,0
B11005921,1
B11005922,1
B11005923,1
B11005924,2
B11005925,1
B11005926,1
B11006058,0
B11006059,0
B11006060,0
B11006061,0
B11006062,0
B11006063,1
B11006064,0
B11006065,0
B11006066,0
B11006354,0
B11006355,2
