,name,Num_EV,TripEnergy,Demand,RES,SolarCapacity,BESS_BatteryCapacity,BuyPowerEnergy,ContractPower,Cost,EnergyCost,ContractCost,Is_opt_solarcapacity,Is_opt_BESS,TripType,ChargeType,ControlRatio,Scinario,DemandClass,DemandClass_detail,cluster,SCR[-],Ech,SSR[-],PBP,Cini,Canu,Rdu,cal_pvcapacity,GHG_prod_ev,GHG_prod_ice,GHG_prod_pv,GHG_prod_charger,GHG_prod_vgi,GHG_prod_BESS,GHG_trvl,GHG_Comsumption,GHG_Total_Production,GHG_Annual_Production,GHG_Total,GHG_Reduction,CPBP,Cost_trvl,Prod_cost,OM_cost,Annual_Prod_cost,ElectricityCost,TotalCost,AnnualCost
21364,B11005714,5,6490.793650793651,204.77,47288.62634359356,34.06593404429893,0,164169.9110331484,44.6153846168989,352.83062688686675,262.6718576530375,90.1587692338293,False,False,Office,V2B,1,5,100,200,B,0.9999999999999969,1929.3076860181397,0.2236307265257514,14.27244239124545,1033.6813181296227,20.032967022149464,109.40552538586047,14.79232632461079,6726.413642488102,0.0,3694.140162927405,177.53290005974029,0.03567231835827102,0.0,0.0,98828.83063909966,10598.122377793605,875.1052296329902,109.42695301689326,25571.202143774426,0.4144553829814304,0.0,1033.6813181296227,20.032967022149464,79.9670329286306,352.83062688686675,1386.5119450164893,432.79765981549735
21365,B11005714,5,6490.793650793651,204.77,83288.99999687282,59.99999999774723,0,131489.22083161643,43.40000000002137,298.0854733306295,210.38275333058627,87.70272000004321,True,False,Office,V2B,1,6,100,200,B,0.9847254739548972,17295.599998205664,0.3841427969068452,15.612078642703334,1694.9999999425545,32.99999999887362,164.15067894209773,10.050406682885244,6726.413642488102,0.0,6506.453323108456,177.53290005974029,0.03567231835827102,0.0,0.0,79155.34493900725,13410.435537974654,1015.7208876420428,92.5657804769819,42432.37468368579,0.316042541525036,0.0,1694.9999999425545,32.99999999887362,125.99999999600135,298.0854733306295,1993.085473273184,424.08547332663085
21366,B11005715,0,0.0,216.303,0.0,0.0,0,216303.0,67.0,481.4784000000001,346.0848,135.3936,False,False,Office,V2B,0,1,100,210,B,0.0,0.0,0.0,0.0,0.0,0.0,1.1368683772161603e-13,0.0,0.0,2363.480491962078,0.0,0.0,0.0,0.0,9364.950499322085,130212.48789866759,2363.480491962078,236.3480491962078,141.94091888995175,0.0,0.0,31.54335227272727,0.0,0.0,0.0,481.47839999999997,513.0217522727272,513.0217522727272
21367,B11005715,0,0.0,216.303,48585.24999557974,34.99999999681572,0,170062.5000363851,63.00000000006386,399.4104000583453,272.1000000582162,127.31040000012908,True,False,Office,V2B,0,2,100,210,B,0.9517394682680238,0.0,0.21377650793776384,16.46515365190575,892.4999999188008,17.49999999840786,82.06799994165476,-23.85470243764223,0.0,2363.480491962078,3795.431104943797,0.0,0.0,0.0,9364.950499322085,102376.11696557586,6158.911596905875,426.11960444339763,117.89997906180382,24040.939828147923,0.25618431063559416,31.54335227272727,892.4999999188008,17.49999999840786,62.124999994347895,399.4104000583453,1323.4537522498733,493.07875232542045
21368,B11005715,5,6490.793650793651,216.303,48585.24999557974,34.99999999681572,0,176631.607946908,73.58730158731927,431.3157917627076,282.6105727150528,148.70521904765482,False,False,Office,V2B,0,3,100,210,B,0.9536723169511391,93.90793647278215,0.20780928318387057,17.74968244890071,967.4999999188008,17.99999999840786,81.70596051001974,95.62045191703562,6726.413642488102,0.0,3795.431104943797,177.53290005974029,0.03567231835827102,0.0,0.0,106330.6616750991,10699.413319809995,880.16977673381,117.03007499490909,24910.843895042664,0.429508264147535,0.0,967.4999999188008,17.99999999840786,70.12499999434789,431.3157917627076,1398.8157916815085,501.4407917570555
21369,B11005715,5,6490.793650793651,216.303,48585.24999557974,34.99999999681572,0,176631.607946908,73.58730158731927,431.3157917627076,282.6105727150528,148.70521904765482,False,False,Office,V2B,0,4,100,210,B,0.9536723169511391,93.90793647278215,0.20780928318387057,17.74968244890071,967.4999999188008,17.99999999840786,81.70596051001974,95.62045191703562,6726.413642488102,0.0,3795.431104943797,177.53290005974029,0.03567231835827102,0.0,0.0,106330.6616750991,10699.413319809995,880.16977673381,117.03007499490909,24910.843895042664,0.429508264147535,0.0,967.4999999188008,17.99999999840786,70.12499999434789,431.3157917627076,1398.8157916815085,501.4407917570555
21370,B11005715,5,6490.793650793651,216.303,48585.24999557974,34.99999999681572,0,174455.00570485785,52.75000000047458,385.7252091287316,279.12800912777254,106.59720000095903,False,False,Office,V2B,1,5,100,210,B,0.9999269325567767,2341.1999991221273,0.2178193039735709,12.54979878422743,1057.4999999188008,20.49999999840786,127.29654314399573,-20.849662813782118,6726.413642488102,0.0,3795.431104943797,177.53290005974029,0.03567231835827102,0.0,0.0,105020.36642675224,10699.413319809995,880.16977673381,115.71977974656224,26221.139143389504,0.4080453279051142,0.0,1057.4999999188008,20.49999999840786,81.62499999434789,385.7252091287316,1443.2252090475324,467.3502091230795
21371,B11005715,5,6490.793650793651,216.303,85424.61593933824,61.53846193807458,0,140758.89206603912,50.38461538060648,327.0314580667922,225.21422730566255,101.8172307611296,True,False,Office,V2B,1,6,100,210,B,0.9861974563920891,17183.615672671967,0.3744172440280088,14.098205917379193,1734.2307794209019,33.769230969037295,185.9902942059352,-33.88760589761273,6726.413642488102,0.0,6673.285503183366,177.53290005974029,0.03567231835827102,0.0,0.0,84735.6048218424,13577.267718049565,1024.0624966457885,98.31287253989197,43628.04635005978,0.31120503561193635,0.0,1734.2307794209019,33.769230969037295,128.73076994008238,327.03145806679214,2061.262237487694,455.7622280068745
21372,B11005716,0,0.0,346.412,0.0,0.0,0,346412.0,76.0,707.8399999999999,554.2592,153.5808,False,False,Office,V2B,0,1,100,340,D,0.0,0.0,0.0,0.0,0.0,0.0,1.1368683772161603e-13,0.0,0.0,2363.480491962078,0.0,0.0,0.0,0.0,9364.950499322085,208536.95213637,2363.480491962078,236.3480491962078,220.26538312765416,0.0,0.0,31.54335227272727,0.0,0.0,0.0,707.8399999999999,739.3833522727272,739.3833522727272
21373,B11005716,0,0.0,346.412,86507.89675358284,62.3188392850793,0,262018.49520390935,73.00000000595197,566.7479923382828,419.229592326255,147.51840001202777,True,False,Office,V2B,0,2,100,340,D,0.975558405383546,0.0,0.24362177352404182,17.052518744084182,1589.1304017695222,31.15941964253965,141.09200766171728,-15.475007946938785,0.0,2363.480491962078,6757.9103162315005,0.0,0.0,0.0,9364.950499322085,157732.81062198,9121.390808193579,574.2435650077828,176.21915192949567,44046.23119815852,0.20708674862912957,31.54335227272727,1589.1304017695222,31.15941964253965,110.61593973101576,566.7479923382828,2187.421746380532,708.9072843420257
21374,B11005716,5,6490.793650793651,346.412,86507.89675358284,62.3188392850793,0,268543.0359539825,90.1904761904785,611.9257718120909,429.668857526372,182.25691428571895,False,False,Office,V2B,0,3,100,340,D,0.9771591160055519,138.47410922086368,0.23941648691912196,19.65333658877092,1664.1304017695222,31.65941964253965,127.45758046063634,121.8693614899649,6726.413642488102,0.0,6757.9103162315005,177.53290005974029,0.03567231835827102,0.0,0.0,161660.5262961189,13661.8925310977,1028.293737298195,175.32241882721658,44942.9643004376,0.3039828979630673,0.0,1664.1304017695222,31.65941964253965,118.61593973101576,611.9257718120909,2276.056173581613,730.5417115431067
21375,B11005716,5,6490.793650793651,346.412,86507.89675358284,62.3188392850793,0,268543.0359539825,90.1904761904785,611.9257718120909,429.668857526372,182.25691428571895,False,False,Office,V2B,0,4,100,340,D,0.9771591160055519,138.47410922086368,0.23941648691912196,19.65333658877092,1664.1304017695222,31.65941964253965,127.45758046063634,121.8693614899649,6726.413642488102,0.0,6757.9103162315005,177.53290005974029,0.03567231835827102,0.0,0.0,161660.5262961189,13661.8925310977,1028.293737298195,175.32241882721658,44942.9643004376,0.3039828979630673,0.0,1664.1304017695222,31.65941964253965,118.61593973101576,611.9257718120909,2276.056173581613,730.5417115431067
21376,B11005716,5,6490.793650793651,346.412,86507.89675358284,62.3188392850793,0,266716.6915695077,69.63768125004118,567.4705327812956,426.7467065112123,140.72382627008324,False,False,Office,V2B,1,5,100,340,D,0.9991043796262387,2036.9127087494003,0.24474338328216472,15.427923796369523,1754.1304017695222,34.159419642539646,171.91281949143172,14.960059524407615,6726.413642488102,0.0,6757.9103162315005,177.53290005974029,0.03567231835827102,0.0,0.0,160561.08317206503,13661.8925310977,1028.293737298195,174.22297570316272,46042.40742449145,0.29672411360120354,0.0,1754.1304017695222,34.159419642539646,130.11593973101577,567.4705327812956,2321.600934550818,697.5864725123113
21377,B11005716,5,6490.793650793651,346.412,129618.37689195576,93.37490681263246,0,229198.2647776349,67.46375652311171,503.0479828261201,366.7172236442159,136.33075918190417,True,False,Office,V2B,1,6,100,340,D,0.9699330774884388,15764.30774095262,0.35422449587151883,16.295718979420748,2546.0601237221276,49.68745340631623,236.33536944660722,5.93249543405325,6726.413642488102,0.0,10125.657879146764,177.53290005974029,0.03567231835827102,0.0,0.0,137975.32294398782,17029.640094012964,1196.6811154439583,155.00496303800077,65260.4200896534,0.2609489805707349,0.0,2546.0601237221276,49.68745340631623,185.2404595924226,503.04798282612006,3049.1081065482476,688.2884424185427
