name,Num_EV,SolarCapacity,BuyPowerEnergy,TripEnergy,ContractPower,Cost
B11005603,0,30.588235,136694.49417301978,0.0,55.0,384.14931
B11005604,0,23.076923,131511.23079614528,0.0,56.0,364.54431
B11005605,0,33.333333,124602.33340029983,0.0,57.0,373.716
B11005606,0,32.142857,182547.71419631242,0.0,78.0,506.75231
B11005607,0,56.0,199779.84000000203,0.0,68.0,556.46214
B11005608,0,44.615385,217301.7076111347,0.0,80.0,588.53904
B11005609,0,71.25,245519.91250000108,0.0,85.8625,692.81155
B11005611,0,101.51515,359964.34832116024,0.0,132.0,1022.878
B11005612,0,28.571429,118591.14289589018,0.0,52.0,345.54171
B11005613,0,35.064935,163836.76629625054,0.0,60.649351,446.93929
B11005614,0,17.977528,116013.46070347607,0.0,54.0,326.65485
B11005615,0,43.939394,197458.54529581053,0.0,68.0,531.3405
B11005616,0,28.0,177659.7200000029,0.0,54.0,443.07875
B11005617,0,22.222222,97651.33338935082,0.0,36.444444,269.33351
B11005618,0,28.571429,123563.14285419986,0.0,54.0,357.53851
B11005619,0,32.183908,135534.83913807987,0.0,53.0,381.08458
B11005620,0,24.705882,115269.96472871471,0.0,43.0,315.17928
B11005621,0,45.882353,187374.38807673453,0.0,64.0,510.5714
B11005622,0,80.722892,325615.93970707874,0.0,114.0,894.63984
B11005623,0,54.761905,233132.69061243982,0.0,79.0,629.85789
B11005624,0,23.595506,122233.79780843119,0.0,48.0,334.4545
B11005625,0,50.0,200789.00000000055,0.0,62.0,535.302
B11005626,0,36.263736,190783.50555050452,0.0,60.0,490.86974
B11005627,0,45.454545,187291.1819104146,0.0,61.0,503.61651
B11005628,0,34.939759,144759.6746665087,0.0,68.0,431.04795
B11005629,0,62.025316,245190.9241990071,0.0,82.0,668.10602
B11005630,0,66.27907,332235.6279671298,0.0,111.33721,874.21259
B11005631,0,58.695652,240797.4562902914,0.0,77.826087,646.73167
B11005632,0,50.0,225394.5000000005,0.0,78.0,607.0036
B11005633,0,39.534884,207748.13943910445,0.0,68.0,539.98584
B11005634,0,46.153846,230521.46166212726,0.0,70.0,592.21342
B11005635,0,47.945205,197230.65765578658,0.0,80.0,562.33579
B11005636,0,29.333333,121833.1600620782,0.0,51.0,350.06052
B11005637,0,83.529412,300804.76486326545,0.0,110.16471,852.17317
B11005639,0,36.55914,148524.81722971157,0.0,51.0,405.59298
B11005640,0,26.388889,94465.52769253001,0.0,36.0,270.73392
B11005641,0,60.227273,239501.52271812907,0.0,88.0,667.93625
B11005642,0,29.032258,154645.61280186943,0.0,56.0,412.13004
B11005643,0,40.449438,173654.94386310037,0.0,61.0,472.91446
B11005644,0,38.383838,158296.54554109398,0.0,63.0,448.71619
B11005645,0,50.0,263812.00000000047,0.0,183.0,880.6556
B11005646,0,45.348837,189971.5234082001,0.0,64.0,513.77982
B11005648,0,54.411765,219065.20577483592,0.0,67.0,582.47881
B11005649,0,30.0,154111.09999999966,0.0,72.0,445.32536
B11005650,0,37.804878,146268.35361618202,0.0,61.109756,424.62362
B11005651,0,37.209302,158846.60484049967,0.0,52.0,425.28268
B11005652,0,26.086957,103888.39120163131,0.0,41.0,295.37857
B11005653,0,29.67033,170957.70334646202,0.0,53.0,433.29956
B11005654,0,24.691358,117579.50608021852,0.0,46.271605,325.46003
B11005655,0,33.333333,160269.0000640805,0.0,63.0,442.90747
B11005656,0,45.348837,169643.13964502953,0.0,71.186047,495.77597
B11005657,0,30.508475,137894.44074700557,0.0,52.0,379.86525
B11005658,0,23.809524,123815.0952567363,0.0,52.0,345.44766
B11005659,0,23.529412,117897.35301671647,0.0,57.0,345.58607
B11005660,0,29.885057,121042.21833518935,0.0,45.908046,339.48451
B11005661,0,23.611111,100307.88897277878,0.0,42.0,287.27594
B11005662,0,33.333333,146361.66673257083,0.0,48.666667,391.69093
B11005663,0,28.0,143069.80000000188,0.0,50.0,379.65168
B11005664,0,31.034483,134971.13794506964,0.0,54.689655,381.55688
B11005665,0,31.034483,143603.3793220737,0.0,56.0,398.01641
B11005666,0,34.782609,141409.1304546131,0.0,47.0,382.97134
B11005668,0,44.444444,195995.00007963172,0.0,72.666667,539.32569
B11005669,0,33.928571,135255.19638587465,0.0,53.625,384.99693
B11005670,0,36.781609,189188.95411022703,0.0,70.0,509.44568
B11005671,0,35.483871,133268.4838125722,0.0,52.225806,381.75135
B11005672,0,28.888889,130035.17769840559,0.0,58.0,376.54046
B11005674,0,26.666667,111444.86659500591,0.0,43.733333,314.02144
B11005675,0,28.235294,112600.74109787346,0.0,53.717647,338.83145
B11005676,0,47.674419,206738.6163120928,0.0,66.0,548.77668
B11005678,0,18.518519,70676.37036773952,0.0,35.259259,217.20447
B11005679,0,50.0,203057.50000000055,0.0,63.0,540.9524
B11005680,0,27.777778,133108.9999879032,0.0,51.0,365.34076
B11005682,0,21.311475,113915.5080680949,0.0,48.0,317.09108
B11005683,0,42.857143,186405.71437206047,0.0,64.0,503.65177
B11005684,0,41.37931,177856.79319734738,0.0,60.0,479.26714
B11005685,0,50.0,222910.5,0.0,83.5,614.1436
B11005686,0,79.166667,290117.0832353396,0.0,104.25,815.37657
B11005687,0,42.424242,163593.03040004382,0.0,54.0,446.17508
B11005688,0,26.470588,116600.64698831065,0.0,49.0,332.56553
B11005689,0,38.636364,187088.22717067308,0.0,58.0,485.12711
B11005690,0,56.25,252384.5625,0.0,76.0,657.23985
B11005691,0,31.460674,133938.77527953652,0.0,52.370787,375.97562
B11005692,0,45.783133,200073.98791002805,0.0,68.0,538.79784
B11005693,0,28.735632,124772.41377291511,0.0,53.0,357.74401
B11005694,0,32.0,141381.35999999888,0.0,50.0,384.05018
B11005695,0,28.205128,121445.10258260307,0.0,42.74359,330.75251
B11005696,0,37.349398,172563.1444206455,0.0,70.0,483.85221
