,name,Num_EV,TripEnergy,Demand,RES,SolarCapacity,BESS_BatteryCapacity,BuyPowerEnergy,ContractPower,Cost,EnergyCost,ContractCost,Is_opt_solarcapacity,Is_opt_BESS,TripType,ChargeType,ControlRatio,Scinario,DemandClass,DemandClass_detail,cluster,SCR[-],Ech,SSR[-],PBP,Cini,Canu,Rdu,cal_pvcapacity,GHG_prod_ev,GHG_prod_ice,GHG_prod_pv,GHG_prod_charger,GHG_prod_vgi,GHG_prod_BESS,GHG_trvl,GHG_Comsumption,GHG_Total_Production,GHG_Annual_Production,GHG_Total,GHG_Reduction,CPBP,Cost_trvl,Prod_cost,OM_cost,Annual_Prod_cost,ElectricityCost,TotalCost,AnnualCost,GHG_Additional_Production
3041,B11002702,15,27132.026770715664,908.823,274875.0439821611,197.91557330320848,0,683758.7066955448,301.0625328007586,1702.4010969966446,1094.0139307128718,608.3871662837731,True,False,Office,V2B,1,6,800,900,C,0.9360259271479072,44088.40872581716,0.27343432881344876,10.71668541381543,6036.847119231816,107.95778665160424,671.2706848215371,-438.72078935804126,229823.20004999998,0.0,321932.1099154813,5325.9870017922085,1.0701695507481306,0,0.0,278973.55233178224,557082.3671368242,31950.85788290836,278.97355233178223,127250.77553835389,3.4472942524786974,0.0,5541.847119231816,107.95778665160424,409.800142613195,1702.4010969966448,7244.2482162284605,2112.20123960984,438670.8671368242
3042,B11002703,0,0.0,584.125,0.0,0.0,0,584125.0,120.0,1177.096,934.6,242.496,False,False,Office,V2B,0,1,400,580,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118411.5,0.0,0.0,0.0,0,35424.543870136135,238322.99999999997,118411.5,7894.1,273.7475438701361,0.0,0.0,94.63005681818181,0.0,0.0,0.0,1177.096,1271.7260568181819,1271.7260568181819,
3043,B11002703,0,0.0,584.125,134791.3767592806,97.10144923767648,0,452999.4493950485,117.00000000163703,961.2327190353859,724.7991190320777,236.43360000330813,True,False,Office,V2B,0,2,400,580,A,0.9728037047724349,0.0,0.22448200416486955,14.799169946597152,2476.08695556075,48.55072461883824,215.8632809646142,-15.720526436547164,0.0,118411.5,157946.5117737121,0.0,0.0,0,35424.543870136135,184823.77535317978,276358.0117737121,15791.425588685604,220.24831922331592,53499.22464682016,2.952314034762371,94.63005681818181,2476.08695556075,48.55072461883824,172.35507239687576,961.2327190353858,3531.9497314143177,1228.2178482504435,157946.51177371212
3044,B11002703,15,27132.026770715664,584.125,134791.3767592806,97.10144923767648,0,480162.7051951386,143.20289855337995,1057.644745708892,768.2603283122216,289.3844173966704,False,False,Office,V2B,0,3,400,580,A,0.9764051040880879,485.43757201679114,0.21513018566609976,15.505017665981683,2926.08695556075,50.05072461883824,238.7694361092897,267.7314593012728,229823.20004999998,0.0,157946.5117737121,5325.9870017922085,1.0701695507481306,0,0.0,195906.38371961654,393096.7689950551,23751.577975819895,195.90638371961654,77841.16015051954,3.528792074320359,0.0,2701.08695556075,50.05072461883824,196.35507239687576,1057.644745708892,3758.731701269642,1253.9998181057679,274685.2689950551
3045,B11002703,15,27132.026770715664,584.125,134791.3767592806,97.10144923767648,0,480162.7051951386,143.20289855337995,1057.644745708892,768.2603283122216,289.3844173966704,False,False,Office,V2B,0,4,400,580,A,0.9764051040880879,485.43757201679114,0.21513018566609976,15.505017665981683,2926.08695556075,50.05072461883824,238.7694361092897,267.7314593012728,229823.20004999998,0.0,157946.5117737121,5325.9870017922085,1.0701695507481306,0,0.0,195906.38371961654,393096.7689950551,23751.577975819895,195.90638371961654,77841.16015051954,3.528792074320359,0.0,2701.08695556075,50.05072461883824,196.35507239687576,1057.644745708892,3758.731701269642,1253.9998181057679,274685.2689950551
3046,B11002703,15,27132.026770715664,584.125,134791.3767592806,97.10144923767648,0,479719.7322399256,77.325652630353,923.8112504192984,767.5515715838809,156.2596788354174,False,False,Office,V2B,1,5,400,580,A,0.9999984947217465,3665.6231779471364,0.2193470815943511,11.001627288967413,3466.08695556075,57.55072461883824,372.60293139888347,-62.1839500115209,229823.20004999998,0.0,157946.5117737121,5325.9870017922085,1.0701695507481306,0,0.0,195725.65075388964,393096.7689950551,23751.577975819895,195.72565075388965,78021.89311624644,3.520617842299671,0.0,2971.08695556075,57.55072461883824,230.85507239687576,923.8112504192983,3894.8982059800483,1154.666322816174,274685.2689950551
3047,B11002703,15,27132.026770715664,584.125,225539.083498558,162.4745765937096,0,394658.1806682788,77.32565263037584,787.7127679047097,631.4530890692462,156.25967883546355,True,False,Office,V2B,1,6,400,580,A,0.9830496375032248,41838.95886522412,0.3597101892467993,12.266527496415236,5133.101703139595,90.2372882968548,508.70141391347204,-67.91583249524561,229823.20004999998,0.0,264283.31220961816,5325.9870017922085,1.0701695507481306,0,0.0,161020.53771265774,499433.56943096116,29068.4179976152,161.02053771265773,112727.00615747835,3.3800424797823307,0.0,4638.101703139595,90.2372882968548,346.8923734538345,787.7127679047097,5425.814471044305,1134.6051413585442,381022.06943096116
3048,B11002708,0,0.0,522.149,0.0,0.0,0,522149.0,153.0,1144.6208,835.4384,309.18240000000003,False,False,Office,V2B,0,1,400,520,C,0.0,0.0,0.0,0.0,0.0,0.0,-2.2737367544323206e-13,0.0,0.0,118411.5,0.0,0.0,0.0,0,35424.543870136135,213036.792,118411.5,7894.1,248.46133587013614,0.0,0.0,94.63005681818181,0.0,0.0,0.0,1144.6208000000001,1239.250856818182,1239.250856818182,
3049,B11002708,0,0.0,522.149,187427.27710154388,134.93975903118417,0,354217.04830799147,134.85542168732485,839.2631134385323,566.7472772927864,272.51583614574605,True,False,Office,V2B,0,2,400,520,C,0.8959845887923024,0.0,0.32161691739769366,14.464649945810901,3440.963855295196,67.46987951559208,305.3576865614675,-170.52818914768935,0.0,118411.5,219494.81090021683,0.0,0.0,0,35424.543870136135,144520.55570966052,337906.3109002168,18868.84054501084,179.94509957979665,68516.23629033947,3.2035444849904104,94.63005681818181,3440.9638552951965,67.46987951559208,239.5180722803519,839.2631134385324,4374.857025551911,1173.411242537066,219494.8109002168
3050,B11002708,15,27132.026770715664,522.149,187427.27710154388,134.93975903118417,0,380569.2560498325,187.000000000006,986.8004096797442,608.910809679732,377.8896000000122,False,False,Office,V2B,0,3,400,520,C,0.9029018615958395,1296.4856065355448,0.3078012865983306,18.69139785752867,3890.963855295196,68.96987951559208,277.13857213843744,552.1597562352348,229823.20004999998,0.0,219494.81090021683,5325.9870017922085,1.0701695507481306,0,0.0,155272.25646833165,454645.0681215598,26828.992932145135,155.27225646833165,93189.07940180448,3.6080790826553555,0.0,3665.9638552951965,68.96987951559208,263.51807228035193,986.8004096797442,4652.7642649749405,1250.318481960096,336233.5681215598
