,index,name,Num_EV,TripEnergy,Demand,RES,SolarCapacity,BESS_BatteryCapacity,BuyPowerEnergy,ContractPower,Cost,EnergyCost,ContractCost,Is_opt_solarcapacity,Is_opt_BESS,TripType,ChargeType,ControlRatio,Scinario,DemandClass,cluster,SCR[-],SSR[-],LCOE,Edu,Ebc,Ebcc,PBP,Cini,Canu,Rdu,GHG_prod_ev,GHG_prod_ice,GHG_prod_pv,GHG_prod_charger,GHG_prod_vgi,GHG_prod_BESS,GHG_trvl,GHG_Comsumption,GHG_Total_Production,GHG_Annual_Production,GHG_Total,GHG_Reduction,CPBP,Cost_trvl,Prod_cost,OM_cost,Annual_Prod_cost,ElectricityCost,TotalCost,AnnualCost
0,6017,B11001827,3,2839.6031746031745,269.181,56554.25926472764,40.74074074468008,0,219974.2702698642,70.33333333297279,494.0884324310541,351.9588324317827,142.12959999927142,True,False,Office,V2B,1,6,100,1,0.8136464050806481,0.16793620813191876,18.488681887241444,49226.75618952372,12817.259260465124,0.0,14.682573489449847,1137.8888889893421,22.17037037234004,117.19117893258226,4035.8481854928614,0.0,4417.962133567941,106.51974003584417,0.021403391014962612,0.0,0.0,132422.5600455515,8560.35146248766,635.1370395703691,140982.91150803916,28098.722081304877,0.30465269693468305,0.0,1137.8888889893421,22.17037037234004,84.01481482180715,494.0884324310541,1631.9773214203963,578.1032472528613
0,6018,B11001828,0,0.0,198.557,0.0,0.0,0,198557.0,76.0,471.27200000000005,317.6912,153.5808,False,False,Office,V2B,0,1,0,1,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1418.0882951772467,0.0,0.0,0.0,0.0,5618.970299593252,119529.55326415141,1418.0882951772467,141.80882951772466,126566.61185892191,0.0,0.0,18.926011363636363,0.0,0.0,0.0,471.272,490.19801136363634,490.19801136363634
0,6019,B11001828,0,0.0,198.557,13609.313725510185,9.80392156864185,0,185409.56862746077,75.99999999999919,450.2361098039355,296.65530980393714,153.58079999999836,True,False,Office,V2B,0,2,0,1,0.9660613046138082,0.06621489734718547,19.1928403018473,13147.431372565105,0.0,0.0,17.993287783015784,250.0000000003672,4.901960784320925,21.035890196064486,0.0,1418.0882951772467,1063.1459678696579,0.0,0.0,0.0,5618.970299593252,111614.91616482627,2481.2342630469047,194.96612791120754,119715.12072746642,6851.491131455492,0.3621451470112033,18.926011363636363,250.0000000003672,4.901960784320925,17.401960784339288,450.2361098039355,719.1621211679391,486.56408195191113
0,6020,B11001828,3,2839.6031746031745,198.557,13609.313725510185,9.80392156864185,0,188317.65453031452,79.47619047622155,461.9137329628519,301.30824724850333,160.60548571434853,False,False,Office,V2B,0,3,0,1,0.9686220955260165,0.06542077485446558,22.145907733139243,13147.431372565105,34.850606909678945,0.0,0.0,295.0000000003672,5.201960784320925,28.284278400784444,4035.8481854928614,0.0,1063.1459678696579,106.51974003584417,0.021403391014962612,0.0,0.0,113365.55809042891,5205.535296789378,467.396231285455,118571.09338721828,7995.518471703632,0.6510566281863917,0.0,295.0000000003672,5.201960784320925,22.201960784339285,461.9137329628519,756.9137329632191,484.1156937471912
0,6021,B11001828,3,2839.6031746031745,198.557,13881.499999945923,9.999999999961044,0,188098.4523817821,79.47619047619462,461.5630095251455,300.9575238108514,160.6054857142941,True,False,Office,V2B,0,4,0,1,0.9654204608286502,0.06650862704571152,22.16025692598765,13363.299999957368,38.18412698349119,0.0,0.0,299.9999999990066,5.299999999980522,28.635001838490837,4035.8481854928614,0.0,1084.4088872212337,106.51974003584417,0.021403391014962612,0.0,0.0,113233.60034082238,5226.7982161409545,468.4593772530338,118460.39855696334,8106.213301958574,0.6447891292076027,0.0,299.9999999990066,5.299999999980522,22.549999999930854,461.5630095251455,761.5630095241521,484.11300952507634
0,6022,B11001828,3,2839.6031746031745,198.557,13881.499999945923,9.999999999961044,0,187792.49826540105,64.20000000001235,430.20335722466655,300.4679972246416,129.73536000002497,False,False,Office,V2B,1,5,0,1,0.946590786235518,0.0651552165563063,24.338983831941285,14104.500000826156,517.9999999887376,0.0,8.898212587691727,353.9999999990066,6.799999999980522,59.99465413896979,4035.8481854928614,0.0,1084.4088872212337,106.51974003584417,0.021403391014962612,0.0,0.0,113049.41867585789,5226.7982161409545,468.4593772530338,118276.21689199885,8290.394966923064,0.6304643188888808,0.0,353.9999999990066,6.799999999980522,29.449999999930853,430.20335722466655,784.2033572236732,459.6533572245974
0,6023,B11001828,3,2839.6031746031745,198.557,37858.63636903144,27.2727272766138,0,165974.91275170603,61.99999999999586,390.8494604027213,265.55986040272967,125.28959999999162,True,False,Office,V2B,1,6,0,1,0.8216797656776715,0.1533503439057618,18.768395316272386,32946.68818271588,9703.090911209012,0.0,12.085751223005543,794.4545455536519,15.4363636383069,99.34855096091502,4035.8481854928614,0.0,2957.4787837636172,106.51974003584417,0.021403391014962612,0.0,0.0,99915.42566753087,7099.868112683338,562.1128720801529,107015.29378021421,19551.3180787077,0.36314012610819457,0.0,794.4545455536519,15.4363636383069,60.10909091598949,390.8494604027213,1185.3040059563732,450.9585513187108
0,6024,B11001829,0,0.0,220.036,0.0,0.0,0,220036.0,66.0,485.4304,352.0576,133.37279999999998,False,False,Office,V2B,0,1,100,1,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,5.684341886080802e-14,0.0,1418.0882951772467,0.0,0.0,0.0,0.0,5618.970299593252,132459.72079569503,1418.0882951772467,141.80882951772466,139496.77939046553,0.0,0.0,18.926011363636363,0.0,0.0,0.0,485.43039999999996,504.3564113636363,504.3564113636363
0,6025,B11001829,0,0.0,220.036,19830.71428595956,14.28571428589098,0,201030.85714413848,65.99999999999926,455.02217143062006,321.6493714306216,133.3727999999985,True,False,Office,V2B,0,2,100,1,0.9583690523338224,0.086372879244022,19.346889693584416,19005.142857337625,0.0,0.0,18.137709089143243,364.28571429022,7.14285714294549,30.4082285693799,0.0,1418.0882951772467,1549.155553198387,0.0,0.0,0.0,5618.970299593252,121018.7933276002,2967.2438483756337,219.266607177644,129605.00747556907,9891.771914896453,0.29997091258312686,18.926011363636363,364.28571429022,7.14285714294549,25.35714285745649,455.0221714306201,838.2338970844764,499.30532565171296
0,6026,B11001829,3,2839.6031746031745,220.036,19830.71428595956,14.28571428589098,0,203937.2698414629,68.77777777778172,465.285765079682,326.29963174634065,138.98613333334134,False,False,Office,V2B,0,3,100,1,0.9602108321607603,0.08539670591794024,21.389275388221602,19005.142857337625,36.52380952564881,0.0,0.0,409.28571429022,7.44285714294549,39.070646283954375,4035.8481854928614,0.0,1549.155553198387,106.51974003584417,0.021403391014962612,0.0,0.0,122768.42799831161,5691.544882118107,491.69671055189144,128459.97288042972,11036.806510035807,0.5156876562928565,0.0,409.28571429022,7.44285714294549,30.157142857456492,465.285765079682,874.571479369902,495.4429079371385
