name,Num_EV,TripEnergy,Demand,RES,SolarCapacity,BESS_BatteryCapacity,BuyPowerEnergy,ContractPower,Cost,EnergyCost,ContractCost,Is_opt_solarcapacity,Is_opt_BESS,TripType,ChargeType,ControlRatio,Scinario
B11000368,5,5991.111111111111,1026988.0,206170.10871465824,148.91304349198862,0,842181.6364750477,239.5008626634951,1831.473961630467,1347.4906183600763,483.9833432703909,True,False,Office,V2B,0,4
B11000368,5,5991.111111111111,1026988.0,206170.10871465824,148.91304349198862,0,832566.8913492459,217.53260869502196,1771.696921809694,1332.1070261587936,439.5898956509005,False,False,Office,V2B,1,5
B11000368,5,5991.111111111111,1026988.0,242940.56607305867,175.4716981387206,0,802241.2820790121,216.73584905577366,1721.565855098327,1283.5860513264195,437.9798037719074,True,False,Office,V2B,1,6
B11000369,0,0.0,435243.0,0.0,0.0,0,435243.0,128.0,955.0511999999999,696.3888,258.6624,False,False,Office,V2B,0,1
B11000369,0,0.0,435243.0,80892.13404399704,58.4269657233637,0,358280.3948567512,126.00000000528104,827.8694317814741,573.248631770802,254.62080001067204,True,False,Office,V2B,0,2
B11000369,5,5991.111111111111,435243.0,80892.13404399704,58.4269657233637,0,364354.232492152,144.0000000000218,873.9619719874876,582.9667719874434,290.9952000000442,False,False,Office,V2B,0,3
B11000369,5,5991.111111111111,435243.0,81899.99999773408,59.154929575828156,0,363542.99486868776,143.99999999998423,872.6639917898685,581.6687917899004,290.9951999999682,True,False,Office,V2B,0,4
B11000369,5,5991.111111111111,435243.0,81899.99999773408,59.154929575828156,0,359755.4473104133,123.99999999999838,826.1879156966581,575.6087156966613,250.5791999999968,False,False,Office,V2B,1,5
B11000369,5,5991.111111111111,435243.0,116356.91494300339,84.04255322716027,0,329016.75922863337,123.99999999999591,777.0060147658052,526.4268147658134,250.57919999999174,True,False,Office,V2B,1,6
B11000372,0,0.0,923233.0,0.0,0.0,0,923233.0,235.0,1952.0608,1477.1728,474.888,False,False,Office,V2B,0,1
B11000372,0,0.0,923233.0,204178.685573448,147.47467358139977,0,731457.9701240758,223.15151965722194,1621.2773431218354,1170.3327521985211,450.94459092331425,True,False,Office,V2B,0,2
B11000372,5,5991.111111111111,923233.0,204178.685573448,147.47467358139977,0,737503.2583809099,236.44444444470298,1657.8121467433116,1180.0052134094558,477.80693333385585,False,False,Office,V2B,0,3
B11000372,5,5991.111111111111,923233.0,185070.91837474148,133.67346939309604,0,752326.5544286956,236.4444444444477,1681.5294204192533,1203.7224870859131,477.80693333334,True,False,Office,V2B,0,4
B11000372,5,5991.111111111111,923233.0,185070.91837474148,133.67346939309604,0,746719.4582143045,200.99999999983237,1600.9319331425486,1194.7511331428873,406.18079999966125,False,False,Office,V2B,1,5
B11000372,5,5991.111111111111,923233.0,223650.00018847483,161.5384616745936,0,713793.9205346843,200.9999999998106,1548.251072855112,1142.0702728554947,406.18079999961725,True,False,Office,V2B,1,6
B11000374,0,0.0,851824.0,0.0,0.0,0,851824.0,329.0,2027.7616,1362.9184,664.8432,False,False,Office,V2B,0,1
B11000374,0,0.0,851824.0,138815.00003642926,100.00000002624304,0,724887.000023953,325.9999999993479,1818.600000037007,1159.8192000383247,658.7807999986824,True,False,Office,V2B,0,2
B11000374,5,5949.523809523809,851824.0,138815.00003642926,100.00000002624304,0,730938.4920769986,343.9999999994353,1864.6567873220565,1169.5015873231978,695.1551999988588,False,False,Office,V2B,0,3
B11000374,5,5949.523809523809,851824.0,138815.00019735034,100.00000014216788,0,730938.4919910101,343.999999995796,1864.656787177121,1169.5015871856162,695.1551999915048,True,False,Office,V2B,0,4
B11000374,5,5949.523809523809,851824.0,138815.00019735034,100.00000014216788,0,723218.5306104549,307.99999999556604,1779.5560489677678,1157.1496489767278,622.4063999910401,False,False,Office,V2B,1,5
B11000374,5,5949.523809523809,851824.0,200970.97001732214,144.7761193079438,0,671786.0032507712,306.6567164205938,1694.5494977439703,1074.857605201234,619.6918925427361,True,False,Office,V2B,1,6
B11000375,0,0.0,1941654.0,0.0,0.0,0,1941654.0,284.0,3680.5536,3106.6464,573.9072,False,False,Office,V2B,0,1
B11000375,0,0.0,1941654.0,420216.15328033286,302.5641021567,0,1533555.2571677947,281.00000000003143,3021.5332114685357,2453.688411468472,567.8448000000636,True,False,Office,V2B,0,2
B11000375,5,5949.523809523809,1941654.0,420216.15328033286,302.5641021567,0,1539545.510795219,296.0000000331028,3061.429617339245,2463.2728172723505,598.1568000668942,False,False,Office,V2B,0,3
B11000375,5,5949.523809523809,1941654.0,421308.9945349994,303.35096989235655,0,1538671.3882843235,296.00000000162237,3060.0310212581962,2461.8742212549178,598.1568000032787,True,False,Office,V2B,0,4
B11000375,5,5949.523809523809,1941654.0,421308.9945349994,303.35096989235655,0,1533061.5476873477,269.9999999996329,2998.514476299015,2452.8984762997566,545.6159999992584,False,False,Office,V2B,1,5
B11000375,5,5949.523809523809,1941654.0,456336.43143022404,328.5714306298189,0,1503860.9618946342,269.99999999977666,2951.7935390309635,2406.1775390314147,545.6159999995488,True,False,Office,V2B,1,6
B11000376,0,0.0,365835.0,0.0,0.0,0,365835.0,110.0,807.624,585.336,222.288,False,False,Office,V2B,0,1
B11000376,0,0.0,365835.0,90436.73827530108,65.11627481391156,0,285245.31009225966,101.83720979740623,662.1851297062142,456.39249614761553,205.7926335585986,True,False,Office,V2B,0,2
B11000376,5,5991.111111111111,365835.0,90436.73827530108,65.11627481391156,0,291263.2935640003,119.52011855035556,707.547525268959,466.0212697024005,241.52625556655855,False,False,Office,V2B,0,3
B11000376,5,5991.111111111111,365835.0,89283.21428564408,64.28571428566373,0,292076.0238097728,119.60317460317911,709.015733333741,467.32163809563656,241.69409523810438,True,False,Office,V2B,0,4
B11000376,5,5991.111111111111,365835.0,89283.21428564408,64.28571428566373,0,284825.0063495895,90.57142857141987,638.7467530164686,455.72001015934325,183.02674285712527,False,False,Office,V2B,1,5
B11000376,5,5991.111111111111,365835.0,116839.76181763974,84.1269840642544,0,261418.57877386015,90.15873015933339,600.4624879441571,418.26972603817626,182.19276190598094,True,False,Office,V2B,1,6
B11000377,0,0.0,799369.0,0.0,0.0,0,799369.0,201.0,1685.1711999999998,1278.9904,406.1808,False,False,Office,V2B,0,1
B11000377,0,0.0,799369.0,199987.71189804433,144.06779663440145,0,612543.5085302297,184.35593220232775,1352.6160814428317,980.0696136483676,372.54646779446404,True,False,Office,V2B,0,2
B11000377,5,5940.31746031746,799369.0,199987.71189804433,144.06779663440145,0,618449.5985943952,184.35593220226937,1362.0658255453782,989.5193577510322,372.54646779434603,False,False,Office,V2B,0,3
B11000377,5,5940.31746031746,799369.0,201938.69318556928,145.47325086306904,0,616993.7895143116,184.27160494857654,1359.5661225029821,987.1900632228986,372.37605928008355,True,False,Office,V2B,0,4
B11000377,5,5940.31746031746,799369.0,201938.69318556928,145.47325086306904,0,609754.8579420098,160.2716049481916,1299.4846319865214,975.6077727072158,323.8768592793056,False,False,Office,V2B,1,5
B11000377,5,5940.31746031746,799369.0,239598.493149571,172.60273972522495,0,579787.3332266116,158.64383561633247,1248.2471961760634,927.6597331625787,320.58746301348475,True,False,Office,V2B,1,6
B11000378,0,0.0,1235288.0,0.0,0.0,0,1235288.0,303.0,2588.7632000000003,1976.4608,612.3024,False,False,Office,V2B,0,1
B11000378,0,0.0,1235288.0,324100.00178708666,233.3333346199328,0,922904.3384422113,289.0000000010293,2060.658141509618,1476.646941507538,584.0112000020802,True,False,Office,V2B,0,2
B11000378,5,5949.523809523809,1235288.0,324100.00178708666,233.3333346199328,0,928907.3797422542,302.03174599337035,2096.59755989101,1486.251807587607,610.3457523034028,False,False,Office,V2B,0,3
B11000378,5,5949.523809523809,1235288.0,342072.99580195604,246.27285514899643,0,914783.9859049501,301.6435603778428,2073.2156842594645,1463.6543774479198,609.5613068115448,True,False,Office,V2B,0,4
B11000378,5,5949.523809523809,1235288.0,342072.99580195604,246.27285514899643,0,907613.7924182434,258.99999999986085,1975.5692678689084,1452.1820678691895,523.3871999997189,False,False,Office,V2B,1,5
B11000378,5,5949.523809523809,1235288.0,366838.460794011,264.1025635666026,0,887517.0590992543,258.99999999974136,1943.4144945582843,1420.027294558807,523.3871999994775,True,False,Office,V2B,1,6
B11000379,0,0.0,271660.0,0.0,0.0,0,271660.0,69.0,574.0912000000001,434.656,139.4352,False,False,Office,V2B,0,1
B11000379,0,0.0,271660.0,53275.56164369377,38.35616438345952,0,220655.08219228964,64.99999999994338,484.4001315075491,353.0481315076634,131.35199999988563,True,False,Office,V2B,0,2
B11000379,5,5991.111111111111,271660.0,53275.56164369377,38.35616438345952,0,226595.2061324978,77.39421613394514,518.9505617754729,362.5523298119965,156.39823196347638,False,False,Office,V2B,0,3
B11000379,5,5991.111111111111,271660.0,55490.96264116554,39.95115995389788,0,224822.23785504556,77.37826617840555,516.0815808613949,359.7155805680729,156.366000293322,True,False,Office,V2B,0,4
B11000379,5,5991.111111111111,271660.0,55490.96264116554,39.95115995389788,0,222603.00082504415,57.999999999998394,473.3712013200675,356.1648013200707,117.20639999999678,False,False,Office,V2B,1,5
B11000379,5,5991.111111111111,271660.0,87019.80722918628,62.65060240983338,0,194510.07077298596,57.999999999993705,428.42251323676487,311.2161132367776,117.2063999999873,True,False,Office,V2B,1,6
B11000380,0,0.0,223919.0,0.0,0.0,0,223919.0,84.0,528.0176,358.2704,169.7472,False,False,Office,V2B,0,1
B11000380,0,0.0,223919.0,49123.17072978432,35.36585365715214,0,178343.12196067462,82.64634146342304,452.36072196636474,285.34899513707944,167.0117268292853,True,False,Office,V2B,0,2
B11000380,5,5949.523809523809,223919.0,49123.17072978432,35.36585365715214,0,184408.1899380699,93.97077042211232,484.94923676991647,295.0531039009118,189.89613286900465,False,False,Office,V2B,0,3
B11000380,5,5949.523809523809,223919.0,51828.35820593863,37.313432833649124,0,182299.11490886443,93.91234304673026,481.4566466830157,291.67858385418316,189.77806282883253,True,False,Office,V2B,0,4
B11000380,5,5949.523809523809,223919.0,51828.35820593863,37.313432833649124,0,178426.56325515124,73.895522388292,434.81057285050247,285.48250120824196,149.32807164226048,False,False,Office,V2B,1,5
B11000380,5,5949.523809523809,223919.0,104174.99998143392,74.9999999866335,0,133986.07517636672,69.75000000145862,355.32852028513446,214.3777202821868,140.95080000294763,True,False,Office,V2B,1,6
B11000381,0,0.0,769114.0,0.0,0.0,0,769114.0,227.0,1689.304,1230.5824,458.72159999999997,False,False,Office,V2B,0,1
B11000381,0,0.0,769114.0,146799.29479365493,105.63380211099872,0,628878.5089862604,227.00000000059643,1464.9272143792218,1006.2056143780167,458.7216000012053,True,False,Office,V2B,0,2
B11000381,5,5991.111111111111,769114.0,146799.29479365493,105.63380211099872,0,634880.9435645967,227.0000000000046,1474.531109703364,1015.8095097033546,458.7216000000094,False,False,Office,V2B,0,3
B11000381,5,5991.111111111111,769114.0,147878.33333272857,106.41025640982122,0,634018.0775350718,226.99999999999955,1473.1505240561141,1014.4289240561149,458.72159999999917,True,False,Office,V2B,0,4
B11000381,5,5991.111111111111,769114.0,147878.33333272857,106.41025640982122,0,629388.5937094333,196.99999999996504,1405.119349935023,1007.0217499350933,398.0975999999295,False,False,Office,V2B,1,5
