,0
B11001004,7
B11001005,7
B11001006,7
B11001007,7
B11001008,7
B11001009,6
B11001010,7
B11001011,7
B11001012,7
B11001013,7
B11001014,7
B11001015,7
B11001016,7
B11001017,7
B11001018,7
B11001019,7
B11001020,7
B11001021,7
B11001022,7
B11001023,2
B11001024,1
B11001025,7
B11001026,7
B11001027,7
B11001028,7
B11001029,7
B11001030,7
B11001031,7
B11001032,7
B11001033,2
B11001034,7
B11001035,1
B11001036,1
B11001037,7
B11001038,7
B11001039,7
B11001040,7
B11001041,7
B11001042,7
B11001043,7
B11001044,7
B11001045,7
B11001046,7
B11001047,7
B11001050,5
B11001051,8
B11001052,2
B11001053,2
B11001054,3
B11001055,8
B11001056,5
B11001057,4
B11001058,4
B11001059,8
B11001060,8
B11001061,1
B11001062,8
B11001063,8
B11001064,4
B11001066,8
B11001067,2
B11001069,8
B11001070,1
B11001075,1
B11001076,2
B11001077,9
B11001078,9
B11001079,8
B11001080,9
B11001081,6
B11001082,6
B11001083,6
B11001084,6
B11001085,6
B11001086,6
B11001087,3
B11001088,9
B11001089,9
B11001090,6
B11001091,9
B11001092,9
B11001094,8
B11001095,8
B11001096,8
B11001097,4
B11001098,4
B11001099,2
B11001100,5
B11001101,2
B11001102,2
B11001103,0
B11001104,4
B11001105,2
B11001106,6
B11001107,8
B11001108,8
B11001109,8
B11001110,4
B11001111,4
B11001112,8
B11001113,2
B11001114,9
B11001115,9
B11001116,9
B11001117,6
B11001118,8
B11001120,1
B11001121,1
B11001122,2
B11001124,2
B11001125,8
B11001126,8
B11001127,8
B11001128,8
B11001129,8
B11001130,8
B11001131,8
B11001132,8
B11001133,6
B11001134,8
B11001135,6
B11001136,8
B11001137,9
B11001139,8
B11001140,3
B11001141,8
B11001142,6
B11001143,8
B11001144,6
B11001145,8
B11001146,8
B11001147,9
B11001148,6
B11001151,4
B11001153,6
B11001154,3
B11001155,2
B11001156,6
B11001157,6
B11001158,9
B11001159,4
B11001160,2
B11001161,8
B11001162,1
B11001163,4
B11001164,4
B11001165,2
B11001167,8
B11001168,8
B11001169,8
B11001170,8
B11001173,9
B11001174,4
B11001175,4
B11001176,9
B11001177,9
B11001178,5
B11001179,2
B11001180,8
B11001181,8
B11001182,4
B11001183,4
B11001184,4
B11001186,9
B11001187,5
B11001188,5
B11001189,1
B11001190,7
B11001191,7
B11001192,8
B11001193,8
B11001194,8
B11001196,4
B11001197,4
B11001198,6
B11001199,4
B11001200,4
B11001201,4
B11001202,3
B11001203,4
B11001204,6
B11001205,9
B11001206,1
B11001207,3
B11001208,3
B11001209,9
B11001211,4
B11001212,4
B11001213,4
B11001214,4
B11001215,4
B11001216,3
B11001218,9
B11001221,1
B11001225,2
B11001226,2
B11001227,8
B11001228,2
B11001229,6
B11001232,9
B11001234,5
B11001235,9
B11001236,9
B11001237,9
B11001238,9
B11001239,9
B11001240,9
B11001241,9
B11001248,9
B11001249,2
B11001250,9
B11001253,9
B11001254,9
B11001258,8
B11001259,7
B11001260,2
B11001261,3
B11001263,9
B11001264,3
B11001265,1
B11001266,3
B11001267,1
B11001268,3
B11001269,1
B11001270,1
B11001271,3
B11001273,8
B11001274,6
B11001275,7
B11001278,3
B11001279,6
B11001280,3
B11001281,6
B11001282,6
B11001283,3
B11001284,6
B11001285,6
B11001286,6
B11001287,6
B11001288,6
B11001289,3
B11001290,6
B11001291,6
B11001292,3
B11001293,6
B11001294,6
B11001295,6
B11001296,3
B11001297,6
B11001298,6
B11001299,6
B11001300,6
B11001301,6
B11001302,3
B11001303,6
B11001304,6
B11001305,6
B11001306,6
B11001307,6
B11001308,3
B11001309,6
B11001310,6
B11001311,6
B11001312,3
B11001313,6
B11001314,6
B11001316,6
B11001317,6
B11001318,6
B11001319,6
B11001320,6
B11001321,6
B11001322,3
B11001323,6
B11001324,6
B11001325,6
B11001326,6
B11001327,6
B11001329,6
B11001330,8
B11001331,8
B11001332,4
B11001333,2
B11001336,2
B11001337,5
B11001338,5
B11001340,9
B11001341,2
B11001342,9
B11001345,2
B11001346,9
B11001347,9
B11001349,3
B11001351,8
B11001352,8
B11001353,4
B11001354,4
B11001355,4
B11001356,4
B11001357,2
B11001358,6
B11001359,6
B11001363,3
B11001364,8
B11001365,9
B11001366,9
B11001367,9
B11001368,9
B11001369,9
B11001370,9
B11001371,9
B11001373,6
B11001374,3
B11001375,6
B11001376,6
B11001377,6
B11001378,3
B11001379,6
B11001380,6
B11001381,2
B11001382,6
B11001383,6
B11001384,6
B11001385,3
B11001388,9
B11001389,4
B11001392,4
B11001393,8
B11001395,2
B11001397,3
B11001398,9
B11001400,2
B11001401,4
B11001402,8
B11001403,9
B11001404,5
B11001405,4
B11001406,7
B11001407,4
B11001408,8
B11001409,8
B11001410,4
B11001411,6
B11001412,4
B11001413,4
B11001414,4
B11001415,9
B11001416,8
B11001417,4
B11001418,9
B11001419,4
B11001420,8
B11001421,8
B11001422,4
B11001423,8
B11001424,4
B11001426,7
B11001427,4
B11001428,4
B11001429,9
B11001430,8
B11001431,4
B11001433,2
B11001434,2
B11001435,2
B11001436,2
B11001437,2
B11001438,2
B11001439,2
B11001440,2
B11001441,2
B11001442,2
B11001443,4
B11001444,8
B11001445,6
B11001447,1
B11001449,2
B11001450,4
B11001451,2
B11001453,8
B11001454,4
B11001458,3
B11001459,8
B11001460,2
B11001461,2
B11001462,2
B11001463,8
B11001464,2
B11001465,6
B11001466,6
B11001467,6
B11001470,4
B11001473,4
B11001474,6
B11001475,8
B11001477,6
B11001478,2
B11001479,6
B11001480,6
B11001481,2
B11001482,2
B11001483,8
B11001484,2
B11001485,8
B11001486,2
B11001487,8
B11001488,4
B11001489,9
B11001490,8
B11001491,8
B11001492,8
B11001493,8
B11001494,2
B11001495,1
