name,Num_EV,Demand,RES,SolarCapacity,BuyPowerEnergy,TripEnergy,ContractPower,Cost,EnergyCost,ContractCost
B11000143,0,26652.0,0.0,0,26652.0,0.0,16.0,74.976,42.6432,32.3328
B11000144,0,75828.0,0.0,0,75828.0,0.0,39.0,200.136,121.3248,78.8112
B11000145,0,27832.0,0.0,0,27832.0,0.0,16.0,76.864,44.5312,32.3328
B11000147,0,39641.0,0.0,0,39641.0,0.0,23.0,109.904,63.4256,46.4784
B11000148,0,44025.0,0.0,0,44025.0,0.0,25.0,120.96,70.44,50.52
B11000149,0,31134.0,0.0,0,31134.0,0.0,18.0,86.1888,49.8144,36.3744
B11000150,0,25066.0,0.0,0,25066.0,0.0,15.0,70.4176,40.1056,30.312
B11000151,0,24098.0,0.0,0,24098.0,0.0,16.0,70.8896,38.5568,32.3328
B11000152,0,46553.0,0.0,0,46553.0,0.0,27.0,129.0464,74.4848,54.5616
B11000153,0,53831.0,0.0,0,53831.0,0.0,33.0,152.816,86.1296,66.6864
B11000158,0,16471.0,0.0,0,16471.0,0.0,10.0,46.5616,26.3536,20.208
B11000161,0,76706.0,0.0,0,76706.0,0.0,52.0,227.8112,122.7296,105.0816
B11000162,0,57044.0,0.0,0,57044.0,0.0,29.0,149.8736,91.2704,58.6032
B11000163,0,25691.0,0.0,0,25691.0,0.0,16.0,73.4384,41.1056,32.3328
B11000164,0,86967.0,0.0,0,86967.0,0.0,45.0,230.0832,139.1472,90.936
B11000166,0,44217.0,0.0,0,44217.0,0.0,30.0,131.3712,70.7472,60.624
B11000167,0,26573.0,0.0,0,26573.0,0.0,14.0,70.808,42.5168,28.2912
B11000168,0,50471.0,0.0,0,50471.0,0.0,38.0,157.544,80.7536,76.7904
B11000169,0,36973.0,0.0,0,36973.0,0.0,22.0,103.6144,59.1568,44.4576
B11000170,0,31406.0,0.0,0,31406.0,0.0,19.0,88.6448,50.2496,38.3952
B11000173,0,42843.0,0.0,0,42843.0,0.0,21.0,110.9856,68.5488,42.4368
B11000174,0,49416.0,0.0,0,49416.0,0.0,26.0,131.6064,79.0656,52.5408
B11000175,0,27396.0,0.0,0,27396.0,0.0,17.0,78.1872,43.8336,34.3536
B11000176,0,34036.0,0.0,0,34036.0,0.0,22.0,98.9152,54.4576,44.4576
B11000177,0,38368.0,0.0,0,38368.0,0.0,28.0,117.9712,61.3888,56.5824
B11000178,0,31198.0,0.0,0,31198.0,0.0,24.0,98.416,49.9168,48.4992
B11000179,0,28625.0,0.0,0,28625.0,0.0,17.0,80.1536,45.8,34.3536
B11000180,0,29471.0,0.0,0,29471.0,0.0,17.0,81.5072,47.1536,34.3536
B11000181,0,1941045.0,0.0,0,1941045.0,0.0,357.0,3827.0976,3105.672,721.4256
B11000182,0,61468.0,0.0,0,61468.0,0.0,33.0,165.0352,98.3488,66.6864
B11000184,0,33267.0,0.0,0,33267.0,0.0,19.0,91.6224,53.2272,38.3952
B11000185,0,41329.0,0.0,0,41329.0,0.0,23.0,112.6048,66.1264,46.4784
B11000186,0,38337.0,0.0,0,38337.0,0.0,27.0,115.9008,61.3392,54.5616
B11000187,0,38668.0,0.0,0,38668.0,0.0,25.0,112.3888,61.8688,50.52
B11000191,0,21040.0,0.0,0,21040.0,0.0,13.0,59.9344,33.664,26.2704
B11000193,0,55340.0,0.0,0,55340.0,0.0,21.0,130.9808,88.544,42.4368
B11000194,0,29310.0,0.0,0,29310.0,0.0,19.0,85.2912,46.896,38.3952
B11000195,0,70627.0,0.0,0,70627.0,0.0,46.0,205.96,113.0032,92.9568
B11000196,0,47983.0,0.0,0,47983.0,0.0,36.0,149.5216,76.7728,72.7488
