name,Num_EV,Demand,RES,SolarCapacity,BuyPowerEnergy,TripEnergy,ContractPower,Cost,EnergyCost,ContractCost
B11001486,5,132581.0,45661.57162710001,32.857143,95080.21277335739,6377.142857142857,114.78571,451.70531,141.92491,231.95897
B11001487,5,582523.0,138970.00000000003,100.0,452596.94482979056,6377.142857142857,254.0,1424.2349,713.95168,513.2832
B11001488,5,119912.0,30285.9375,21.875,96007.95535960488,6377.142857142857,35.78125,274.04417,143.4093,72.30675
B11001489,5,3287202.0,671034.8528136,483.11688,2637012.4100970174,6377.142857142857,665.0,6429.8809,4209.0164,1343.832
B11001490,5,501897.0,83288.99999999999,60.0,430015.12862974213,6377.142857142857,252.6,1314.2749,677.82078,510.45408
B11001491,5,436452.0,111723.91358699999,80.434783,334830.5465919211,6377.142857142857,194.78261,1081.4139,525.52545,393.6167
B11001492,5,595917.0,111797.56114499999,80.487805,491794.1671331135,6377.142857142857,206.19512,1355.7122,776.66724,416.6791
B11001493,5,926191.0,157308.43089000002,113.25301,788974.1587321903,6377.142857142857,364.6747,2209.6139,1252.1552,736.93463
B11001494,5,86667.0,23676.136995,17.045455,69517.0371127201,6377.142857142857,61.272727,274.59944,101.02383,123.81993
B11001495,5,478454.0,99773.28124999999,71.875,386178.67567665013,6377.142857142857,114.28125,985.70013,607.68245,230.93955
B11001496,5,740324.0,138815.0,100.0,610627.6740338905,6377.142857142857,200.0,1567.9608,966.80085,404.16
B11001497,5,1315846.0,300511.598288,216.48352,1034096.6728216656,6377.142857142857,497.0,3052.4471,1644.3513,1004.3376
B11001503,5,1184194.0,191293.84417199998,137.80488,1000122.0002030936,5973.492063492064,300.0,2460.9813,1590.6376,606.24
B11001504,5,910928.0,165940.520202,119.48052,753687.8277503881,6261.428571428572,239.0,1910.4314,1195.8822,482.9712
B11001505,5,529610.0,166680.0,120.0,378191.55519679835,6261.428571428572,151.0,1132.729,595.0882,305.1408
B11001506,5,934163.0,300411.62823,216.27907,665094.9920664021,6261.428571428572,306.04651,2075.9878,1054.1337,618.45879
B11001507,5,1081457.0,287901.82197,207.27273,814708.328513504,6261.428571428572,358.70909,2405.8035,1293.515,724.87933
B11001508,5,1221796.0,318312.50463000004,229.16667,921788.851555496,6261.428571428572,401.83333,2703.1395,1464.8439,812.0248
B11001512,5,177146.0,44014.512093549994,31.707317,139580.71826097046,6372.380952380953,48.731707,387.39086,213.13334,98.477034
B11001513,5,192823.0,24237.539043549998,17.460317,174582.38033659017,5973.492063492064,294.90476,916.20983,269.77422,595.94354
B11001515,5,934917.0,196827.232176,141.79104,746320.3415331069,6522.6984126984125,171.58209,1801.5884,1183.6762,346.73309
B11001516,5,1174279.0,208222.49999999997,150.0,977078.7702450628,6522.6984126984125,278.5,2401.4325,1552.8897,562.7928
B11001517,5,1900754.0,385415.76633899997,277.64706,1533357.6630634977,6522.6984126984125,454.0,3872.7027,2442.9359,917.4432
B11001518,5,802043.0,148590.69933749997,107.04225,661564.0844423467,6522.6984126984125,166.78873,1594.6129,1048.0662,337.04667
B11001519,5,1769875.0,346112.0620394999,249.33333,1439234.7985726297,6522.6984126984125,392.02667,3546.6135,2292.3394,792.20749
B11001520,5,1097094.0,206529.63719349995,148.78049,900721.7609011114,6522.6984126984125,289.53659,2299.3994,1430.7185,585.09553
B11001521,5,474114.0,87916.16620395,63.333333,393098.94147409796,6522.6984126984125,111.0,974.74745,618.52199,224.3088
B11001522,5,918464.0,233911.57529250003,168.42105,696710.1618147421,6377.142857142857,189.89474,1806.7195,1104.5328,383.73928
B11001523,5,268963.0,50746.44294870001,36.538462,225208.4353517984,6377.142857142857,65.0,565.83784,350.13007,131.352
B11001524,5,236972.0,49433.64359700001,35.59322,194199.92432382033,6377.142857142857,145.0,676.21042,300.51645,293.016
B11001525,5,579005.0,128672.86789215001,92.647059,459465.90055148094,6377.142857142857,214.14706,1341.6389,724.94201,432.74838
B11001526,5,191448.0,66135.71481480001,47.619048,133103.1453282198,6377.142857142857,86.52381,481.63273,202.7616,174.84731
B11001527,5,92509.0,21918.158333099997,15.789474,77023.00555843054,6372.380952380953,30.578947,222.36125,113.041,61.793937
B11001528,5,115229.0,28810.660403549995,20.754717,92823.20269204905,6372.380952380953,57.169811,310.18969,138.32131,115.52875
B11001530,5,1276572.0,288468.03367200005,207.57576,997312.1845106963,6365.079365079365,267.77273,2514.5775,1585.5154,541.11513
B11001531,5,478598.0,73193.36401494998,52.727273,412460.0390152612,6365.079365079365,162.47273,1091.1677,649.75193,328.32489
B11001532,5,715065.0,138815.0,100.0,588213.6822893402,6365.079365079365,309.0,1752.385,930.95776,624.4272
B11001533,5,574937.0,104163.75000000001,75.0,479145.6629988199,6365.079365079365,193.0,1299.0883,756.44893,390.0144
B11001534,5,743320.0,168295.9403595,121.17647,588638.4021917656,6365.079365079365,255.0,1681.5295,931.63732,515.304
B11001535,5,479000.0,138885.0,100.0,351161.2487672,6365.079365079365,158.0,1067.9603,551.67387,319.2864
B11001537,5,839154.0,218137.861109,157.14286,629120.115075288,6365.079365079365,189.0,1676.7678,996.40806,381.9312
B11001538,5,245772.0,52613.636532,37.878788,199916.77214471603,6365.079365079365,102.07576,602.69225,309.68271,206.27469
B11001539,5,237186.0,19842.856746,14.285714,223759.86618542028,6365.079365079365,173.28571,742.86457,347.83166,350.17577
B11001540,5,194554.0,28720.344588249995,20.689655,172260.86445375206,6365.079365079365,98.344828,520.39262,265.43326,198.73523
B11001541,5,670542.0,164002.41081,118.07229,514164.3905983845,6365.079365079365,126.0,1296.178,812.4789,254.6208
B11001542,5,252401.0,54352.174215,39.130435,205162.393768632,6365.079365079365,124.82609,659.28078,318.0757,252.24856
B11001543,5,245394.0,52810.0539857,38.043478,199250.27910166106,6365.079365079365,93.858696,585.31315,308.61632,189.66965
B11001545,5,116894.0,46271.66620395,33.333333,77176.80561445073,6365.079365079365,31.333333,255.28383,113.29876,63.3184
B11001546,5,684774.0,179412.50463,129.16667,512281.6341694019,6365.079365079365,120.0,1300.7333,809.46649,242.496
B11001547,5,621700.0,109286.55794625,78.688525,519535.0062135979,6365.079365079365,110.0,1202.532,821.07188,222.288
B11001548,5,171938.0,37618.749536999996,27.083333,140701.79145595594,6365.079365079365,45.0,373.44766,214.93874,90.936
B11001549,5,615855.0,129712.37711744999,93.442623,493240.68141414726,6365.079365079365,220.0,1408.9376,779.00096,444.576
B11001550,5,889761.0,199758.172086,143.90244,696819.2219737039,6365.079365079365,163.68293,1710.4239,1104.7266,330.77046
B11001551,5,34801.0,8819.0475507,6.3492063,32365.278411373318,6365.079365079365,12.809524,98.255645,41.600318,25.885486
B11001552,5,220780.0,41462.686194,29.850746,185765.96757809413,6365.079365079365,74.104478,509.27682,287.04142,149.75033
B11001553,5,398704.0,94778.823366,68.235294,310919.8754482798,6365.079365079365,106.0,842.11012,487.28767,214.2048
B11001554,5,573249.0,64660.344636,46.551724,515100.7506676369,6365.079365079365,186.0,1291.9752,813.97707,375.8688
B11001555,5,225144.0,38892.0,28.0,192641.6122058385,6365.079365079365,76.0,520.82325,298.04245,153.5808
B11001556,5,415852.0,100956.36401494998,72.727273,321439.9417532695,6365.079365079365,125.0,905.31069,504.11978,252.6
B11001557,5,310445.0,41837.349497999996,30.120482,275044.616785892,6365.079365079365,90.0,684.72312,429.88726,181.872
B11001558,5,476798.0,111051.99999999999,80.0,372695.00139429234,6365.079365079365,113.2,976.38244,586.12788,228.75456
B11001559,5,389858.0,74410.714881,53.571429,322258.1576088375,6365.079365079365,127.0,876.65981,505.42892,256.6416
B11001560,5,354949.0,84946.49274449999,61.19403,276466.91216431087,6365.079365079365,67.38806,696.46013,432.16293,136.17779
B11001561,5,1946638.0,244902.63231,176.31579,1717637.8432623362,6365.079365079365,511.0,4103.1257,2738.0364,1032.6288
B11001562,5,1387685.0,254362.41931950004,183.14607,1141759.914416005,6365.079365079365,332.0,2832.1216,1816.6317,670.9056
B11001563,5,562770.0,100700.325,72.5,468945.8081569314,6365.079365079365,163.275,1218.2628,740.12917,329.94612
B11001564,5,80202.0,18822.372834299997,13.559322,67774.399367866,6365.079365079365,35.864407,214.2975,98.254912,72.474793
B11001565,5,1142740.0,339868.60897199996,244.61538,821654.4093720919,6365.079365079365,268.66154,2301.0665,1304.4629,542.91124
B11001566,5,417180.0,19064.70561,13.72549,404494.6199450283,6365.079365079365,142.0,967.82361,637.00726,286.9536
B11001567,5,462115.0,110438.67429720002,79.518072,358869.5973947874,6365.079365079365,117.61446,962.3271,564.00723,237.6753
B11001568,5,282401.0,98964.1125,71.25,192092.2336583008,6365.079365079365,91.025,627.07552,297.16345,183.94332
B11001569,5,835783.0,123941.96388909999,89.285714,723766.1714472098,6365.079365079365,357.32143,2047.899,1147.8417,722.07514
B11001570,5,379621.0,70332.93379604998,50.666667,315776.2882702793,6365.079365079365,69.0,743.92647,495.05793,139.4352
B11001571,5,655109.0,263465.206348,189.79592,427745.13703825645,6365.079365079365,352.28571,1742.4948,674.20809,711.89897
B11001572,5,742003.0,190870.62499999997,137.5,559362.8850886021,6365.079365079365,142.0,1435.3126,884.79649,286.9536
B11001574,5,830167.0,111711.84836955,80.434783,730146.6438075138,6365.079365079365,622.19565,2577.6552,1158.0505,1257.333
B11001575,5,650578.0,83687.11502850002,60.25641,574759.4398156959,6365.079365079365,269.39744,1580.2844,909.43098,544.39834
B11001576,5,129118.0,26695.191987349994,19.230769,108801.38307717214,6365.079365079365,40.615385,299.60827,163.89809,82.075569
B11001577,5,327408.0,78205.63356819999,56.338028,255659.61259352622,6365.079365079365,84.43662,689.00077,398.87125,170.62952
B11001578,5,558079.0,147176.6428275,105.97015,417973.61421248876,6365.079365079365,105.9403,1080.2548,658.57366,214.08416
B11001579,5,267863.0,18758.7844591,13.513514,255477.65930793926,6365.079365079365,85.0,613.83462,398.58013,171.768
B11001580,5,176354.0,42906.45467165,30.909091,139983.52551746942,6365.079365079365,49.672727,388.5318,213.78951,100.37865
B11001581,5,644675.0,44420.799999999996,32.0,607564.1849672701,6365.079365079365,350.72,1746.9535,961.91857,708.73498
B11001582,5,1917209.0,81705.881781,58.823529,1845319.1011315146,6365.079365079365,608.0,4294.8846,2942.3264,1228.6464
B11001583,5,3403857.0,483130.43901000003,347.82609,2973839.8159424826,6365.079365079365,773.13043,6947.1929,4747.9596,1562.342
B11001584,5,441813.0,90586.956099,65.217391,360531.71203610196,6365.079365079365,180.08696,1065.8472,566.66661,363.91972
B11001585,5,87934.0,17582.278692,12.658228,76748.00093874676,6365.079365079365,30.367089,215.94684,112.61267,61.365813
B11001586,5,762701.0,187089.79932000002,134.69388,584155.9841925601,6365.079365079365,170.0,1526.5831,924.46545,343.536
B11001587,5,872484.0,109135.71488099999,78.571429,773988.328261272,6365.079365079365,368.0,2130.8159,1228.1972,743.6544
B11001588,5,136710.0,31705.434843000003,22.826087,111394.6515590313,6365.079365079365,35.315217,299.42861,168.04732,71.364991
B11001589,5,314503.0,80415.789693,57.894737,242073.2315702083,6365.079365079365,87.263158,675.73759,377.13304,176.34139
B11001590,5,175195.0,41186.868589499994,29.67033,140447.98407191096,6365.079365079365,60.703297,409.36671,214.53265,122.66922
B11001591,5,234941.0,63283.30841524999,45.588235,178328.4891066095,6365.079365079365,62.808824,502.48464,275.14146,126.92407
B11001592,5,206670.0,29746.07083365,21.428571,183533.13211916148,6365.079365079365,101.35714,545.82711,283.46888,204.82251
B11001593,5,93987.0,27794.000000000007,20.0,72578.00776854032,6365.079365079365,28.4,218.33141,105.94069,57.39072
B11001594,5,480955.0,124593.79252840001,89.655172,363250.7307702617,6365.079365079365,112.31034,976.61172,571.01704,226.95674
B11001598,5,861780.0,225783.43038999996,162.6506,646899.1516939073,5973.492063492064,294.0,1927.8011,1025.4811,594.1152
B11001599,5,211505.0,39661.42916635,28.571429,177960.98475378804,5973.492063492064,80.428571,507.92433,275.17999,162.53006
B11001600,5,338344.0,59527.28591271,42.857143,285644.9071620534,6365.079365079365,174.42857,894.90441,446.84772,352.48526
B11001601,5,98173.0,38583.333642000005,27.777778,66300.11613386925,6365.079365079365,35.0,235.42961,95.896059,70.728
B11001602,5,689233.0,156662.63889099998,112.85714,540715.6021349577,6365.079365079365,183.35714,1445.3104,854.96084,370.52811
