計測日,計測時間,全体,空調,照明,動力,電灯,冷凍・冷熱,その他,,,
2013/04/09,01,31,,,19,8,,,,,
2013/04/09,02,28,,,17,8,,,,,
2013/04/09,03,28,,,14,8,,,,,
2013/04/09,04,28,,,15,8,,,,,
2013/04/09,05,31,,,17,8,,,,,
2013/04/09,06,31,,,20,8,,,,,
2013/04/09,07,40,,,18,9,,,,,
2013/04/09,08,44,,,30,12,,,,,
2013/04/09,09,39,,,21,14,,,,,
2013/04/09,10,31,,,18,13,,,,,
2013/04/09,11,29,,,13,11,,,,,
2013/04/09,12,27,,,13,11,,,,,
2013/04/09,13,30,,,12,11,,,,,
2013/04/09,14,27,,,12,12,,,,,
2013/04/09,15,29,,,12,11,,,,,
2013/04/09,16,29,,,14,11,,,,,
2013/04/09,17,26,,,13,11,,,,,
2013/04/09,18,24,,,8,11,,,,,
2013/04/09,19,23,,,7,11,,,,,
2013/04/09,20,23,,,9,9,,,,,
2013/04/09,21,23,,,8,9,,,,,
2013/04/09,22,22,,,9,8,,,,,
2013/04/09,23,25,,,11,8,,,,,
2013/04/09,24,31,,,15,8,,,,,
2013/04/10,01,29,,,18,8,,,,,
2013/04/10,02,29,,,16,8,,,,,
2013/04/10,03,31,,,17,8,,,,,
2013/04/10,04,30,,,19,8,,,,,
2013/04/10,05,29,,,15,8,,,,,
2013/04/10,06,39,,,16,8,,,,,
2013/04/10,07,62,,,32,14,,,,,
2013/04/10,08,90,,,43,31,,,,,
2013/04/10,09,92,,,44,39,,,,,
2013/04/10,10,81,,,34,41,,,,,
2013/04/10,11,78,,,27,42,,,,,
2013/04/10,12,75,,,25,41,,,,,
2013/04/10,13,78,,,26,42,,,,,
2013/04/10,14,82,,,27,45,,,,,
2013/04/10,15,85,,,29,45,,,,,
2013/04/10,16,90,,,31,46,,,,,
2013/04/10,17,90,,,35,45,,,,,
2013/04/10,18,83,,,33,45,,,,,
2013/04/10,19,59,,,26,41,,,,,
2013/04/10,20,33,,,20,15,,,,,
2013/04/10,21,29,,,18,8,,,,,
2013/04/10,22,31,,,17,8,,,,,
2013/04/10,23,33,,,21,8,,,,,
2013/04/10,24,34,,,22,8,,,,,
2013/04/11,01,32,,,21,7,,,,,
2013/04/11,02,28,,,18,8,,,,,
2013/04/11,03,29,,,15,8,,,,,
2013/04/11,04,32,,,17,7,,,,,
2013/04/11,05,32,,,20,8,,,,,
2013/04/11,06,34,,,18,8,,,,,
2013/04/11,07,59,,,25,13,,,,,
2013/04/11,08,101,,,45,33,,,,,
2013/04/11,09,93,,,50,39,,,,,
2013/04/11,10,86,,,39,42,,,,,
2013/04/11,11,89,,,33,43,,,,,
2013/04/11,12,94,,,39,43,,,,,
2013/04/11,13,98,,,43,45,,,,,
2013/04/11,14,109,,,43,49,,,,,
2013/04/11,15,109,,,45,55,,,,,
2013/04/11,16,108,,,44,54,,,,,
2013/04/11,17,106,,,47,51,,,,,
2013/04/11,18,74,,,38,48,,,,,
2013/04/11,19,42,,,21,25,,,,,
2013/04/11,20,34,,,19,12,,,,,
2013/04/11,21,30,,,19,8,,,,,
2013/04/11,22,30,,,16,8,,,,,
2013/04/11,23,30,,,19,8,,,,,
2013/04/11,24,31,,,18,8,,,,,
2013/04/12,01,32,,,20,8,,,,,
2013/04/12,02,29,,,18,8,,,,,
2013/04/12,03,28,,,16,8,,,,,
2013/04/12,04,29,,,16,7,,,,,
2013/04/12,05,33,,,18,8,,,,,
2013/04/12,06,30,,,19,8,,,,,
2013/04/12,07,53,,,21,10,,,,,
2013/04/12,08,94,,,41,30,,,,,
2013/04/12,09,94,,,45,38,,,,,
2013/04/12,10,94,,,44,44,,,,,
2013/04/12,11,88,,,37,42,,,,,
2013/04/12,12,90,,,40,41,,,,,
2013/04/12,13,90,,,38,43,,,,,
2013/04/12,14,87,,,37,42,,,,,
2013/04/12,15,91,,,35,45,,,,,
2013/04/12,16,94,,,40,43,,,,,
2013/04/12,17,78,,,39,43,,,,,
2013/04/12,18,42,,,25,26,,,,,
2013/04/12,19,32,,,17,11,,,,,
2013/04/12,20,31,,,19,8,,,,,
2013/04/12,21,29,,,18,8,,,,,
2013/04/12,22,30,,,17,8,,,,,
2013/04/12,23,29,,,19,8,,,,,
2013/04/12,24,30,,,18,8,,,,,
2013/04/13,01,29,,,17,8,,,,,
2013/04/13,02,28,,,15,8,,,,,
2013/04/13,03,28,,,16,7,,,,,
2013/04/13,04,31,,,16,7,,,,,
2013/04/13,05,29,,,20,7,,,,,
2013/04/13,06,35,,,16,8,,,,,
2013/04/13,07,61,,,28,12,,,,,
2013/04/13,08,100,,,49,31,,,,,
2013/04/13,09,93,,,46,38,,,,,
2013/04/13,10,87,,,42,42,,,,,
2013/04/13,11,82,,,31,45,,,,,
2013/04/13,12,81,,,29,43,,,,,
2013/04/13,13,88,,,30,44,,,,,
2013/04/13,14,92,,,35,45,,,,,
2013/04/13,15,100,,,42,47,,,,,
2013/04/13,16,92,,,36,49,,,,,
2013/04/13,17,91,,,34,45,,,,,
2013/04/13,18,87,,,39,44,,,,,
2013/04/13,19,78,,,31,42,,,,,
2013/04/13,20,36,,,22,29,,,,,
2013/04/13,21,27,,,16,9,,,,,
2013/04/13,22,28,,,12,9,,,,,
2013/04/13,23,31,,,18,9,,,,,
2013/04/13,24,33,,,19,8,,,,,
2013/04/14,01,34,,,21,8,,,,,
2013/04/14,02,29,,,19,8,,,,,
2013/04/14,03,33,,,18,8,,,,,
2013/04/14,04,30,,,21,8,,,,,
2013/04/14,05,28,,,16,8,,,,,
2013/04/14,06,30,,,16,8,,,,,
2013/04/14,07,55,,,24,10,,,,,
2013/04/14,08,89,,,41,30,,,,,
2013/04/14,09,85,,,37,39,,,,,
2013/04/14,10,83,,,34,41,,,,,
2013/04/14,11,87,,,34,43,,,,,
2013/04/14,12,84,,,33,43,,,,,
2013/04/14,13,87,,,30,46,,,,,
2013/04/14,14,86,,,29,47,,,,,
2013/04/14,15,88,,,32,47,,,,,
2013/04/14,16,84,,,29,47,,,,,
2013/04/14,17,85,,,26,45,,,,,
2013/04/14,18,85,,,33,45,,,,,
2013/04/14,19,64,,,26,42,,,,,
2013/04/14,20,32,,,20,19,,,,,
2013/04/14,21,28,,,17,9,,,,,
2013/04/14,22,27,,,13,8,,,,,
2013/04/14,23,30,,,16,8,,,,,
2013/04/14,24,34,,,21,8,,,,,
2013/04/15,01,35,,,22,8,,,,,
2013/04/15,02,28,,,19,8,,,,,
2013/04/15,03,31,,,18,8,,,,,
2013/04/15,04,29,,,19,8,,,,,
2013/04/15,05,27,,,15,8,,,,,
2013/04/15,06,35,,,15,8,,,,,
2013/04/15,07,56,,,29,12,,,,,
2013/04/15,08,81,,,36,29,,,,,
2013/04/15,09,78,,,32,36,,,,,
2013/04/15,10,73,,,30,39,,,,,
2013/04/15,11,72,,,24,39,,,,,
2013/04/15,12,70,,,24,37,,,,,
2013/04/15,13,74,,,24,38,,,,,
2013/04/15,14,86,,,29,41,,,,,
2013/04/15,15,88,,,39,44,,,,,
2013/04/15,16,80,,,31,43,,,,,
2013/04/15,17,74,,,28,40,,,,,
2013/04/15,18,51,,,25,31,,,,,
2013/04/15,19,36,,,25,11,,,,,
2013/04/15,20,28,,,20,9,,,,,
2013/04/15,21,23,,,10,9,,,,,
2013/04/15,22,23,,,9,8,,,,,
